"chack","bank_account"
"uniqueid_69 x Kenya","No"
"uniqueid_70 x Kenya","Yes"
"uniqueid_71 x Kenya","No"
"uniqueid_72 x Kenya","No"
"uniqueid_73 x Kenya","No"
"uniqueid_74 x Kenya","No"
"uniqueid_75 x Kenya","Yes"
"uniqueid_76 x Kenya","No"
"uniqueid_77 x Kenya","No"
"uniqueid_78 x Kenya","No"
"uniqueid_79 x Kenya","No"
"uniqueid_80 x Kenya","No"
"uniqueid_81 x Kenya","No"
"uniqueid_82 x Kenya","No"
"uniqueid_83 x Kenya","No"
"uniqueid_84 x Kenya","No"
"uniqueid_85 x Kenya","No"
"uniqueid_86 x Kenya","No"
"uniqueid_87 x Kenya","Yes"
"uniqueid_88 x Kenya","No"
"uniqueid_89 x Kenya","No"
"uniqueid_90 x Kenya","No"
"uniqueid_91 x Kenya","No"
"uniqueid_92 x Kenya","No"
"uniqueid_93 x Kenya","Yes"
"uniqueid_94 x Kenya","No"
"uniqueid_95 x Kenya","Yes"
"uniqueid_96 x Kenya","No"
"uniqueid_97 x Kenya","No"
"uniqueid_98 x Kenya","No"
"uniqueid_99 x Kenya","No"
"uniqueid_100 x Kenya","Yes"
"uniqueid_101 x Kenya","No"
"uniqueid_102 x Kenya","No"
"uniqueid_103 x Kenya","No"
"uniqueid_104 x Kenya","No"
"uniqueid_105 x Kenya","Yes"
"uniqueid_106 x Kenya","Yes"
"uniqueid_107 x Kenya","No"
"uniqueid_108 x Kenya","Yes"
"uniqueid_109 x Kenya","No"
"uniqueid_110 x Kenya","No"
"uniqueid_111 x Kenya","No"
"uniqueid_112 x Kenya","No"
"uniqueid_113 x Kenya","No"
"uniqueid_114 x Kenya","No"
"uniqueid_115 x Kenya","No"
"uniqueid_116 x Kenya","No"
"uniqueid_117 x Kenya","No"
"uniqueid_118 x Kenya","No"
"uniqueid_119 x Kenya","Yes"
"uniqueid_120 x Kenya","No"
"uniqueid_121 x Kenya","No"
"uniqueid_122 x Kenya","No"
"uniqueid_123 x Kenya","Yes"
"uniqueid_124 x Kenya","No"
"uniqueid_125 x Kenya","No"
"uniqueid_126 x Kenya","Yes"
"uniqueid_127 x Kenya","No"
"uniqueid_128 x Kenya","No"
"uniqueid_129 x Kenya","Yes"
"uniqueid_130 x Kenya","No"
"uniqueid_131 x Kenya","Yes"
"uniqueid_132 x Kenya","No"
"uniqueid_133 x Kenya","No"
"uniqueid_134 x Kenya","No"
"uniqueid_135 x Kenya","No"
"uniqueid_136 x Kenya","Yes"
"uniqueid_137 x Kenya","Yes"
"uniqueid_138 x Kenya","No"
"uniqueid_139 x Kenya","Yes"
"uniqueid_140 x Kenya","No"
"uniqueid_141 x Kenya","No"
"uniqueid_142 x Kenya","No"
"uniqueid_143 x Kenya","No"
"uniqueid_144 x Kenya","No"
"uniqueid_145 x Kenya","No"
"uniqueid_146 x Kenya","No"
"uniqueid_147 x Kenya","No"
"uniqueid_148 x Kenya","Yes"
"uniqueid_149 x Kenya","No"
"uniqueid_150 x Kenya","Yes"
"uniqueid_151 x Kenya","No"
"uniqueid_152 x Kenya","No"
"uniqueid_153 x Kenya","Yes"
"uniqueid_154 x Kenya","No"
"uniqueid_155 x Kenya","No"
"uniqueid_156 x Kenya","No"
"uniqueid_157 x Kenya","No"
"uniqueid_158 x Kenya","No"
"uniqueid_159 x Kenya","No"
"uniqueid_160 x Kenya","Yes"
"uniqueid_161 x Kenya","No"
"uniqueid_162 x Kenya","No"
"uniqueid_163 x Kenya","No"
"uniqueid_164 x Kenya","No"
"uniqueid_165 x Kenya","No"
"uniqueid_166 x Kenya","Yes"
"uniqueid_167 x Kenya","No"
"uniqueid_168 x Kenya","Yes"
"uniqueid_169 x Kenya","No"
"uniqueid_170 x Kenya","No"
"uniqueid_171 x Kenya","No"
"uniqueid_172 x Kenya","No"
"uniqueid_173 x Kenya","No"
"uniqueid_174 x Kenya","No"
"uniqueid_175 x Kenya","No"
"uniqueid_176 x Kenya","No"
"uniqueid_177 x Kenya","No"
"uniqueid_178 x Kenya","No"
"uniqueid_179 x Kenya","No"
"uniqueid_180 x Kenya","No"
"uniqueid_181 x Kenya","No"
"uniqueid_182 x Kenya","No"
"uniqueid_183 x Kenya","No"
"uniqueid_184 x Kenya","No"
"uniqueid_185 x Kenya","No"
"uniqueid_186 x Kenya","No"
"uniqueid_187 x Kenya","No"
"uniqueid_188 x Kenya","No"
"uniqueid_189 x Kenya","No"
"uniqueid_190 x Kenya","Yes"
"uniqueid_191 x Kenya","Yes"
"uniqueid_192 x Kenya","No"
"uniqueid_193 x Kenya","No"
"uniqueid_194 x Kenya","Yes"
"uniqueid_195 x Kenya","No"
"uniqueid_196 x Kenya","No"
"uniqueid_197 x Kenya","Yes"
"uniqueid_198 x Kenya","No"
"uniqueid_199 x Kenya","Yes"
"uniqueid_200 x Kenya","Yes"
"uniqueid_201 x Kenya","Yes"
"uniqueid_202 x Kenya","No"
"uniqueid_203 x Kenya","No"
"uniqueid_204 x Kenya","No"
"uniqueid_205 x Kenya","No"
"uniqueid_206 x Kenya","No"
"uniqueid_207 x Kenya","No"
"uniqueid_208 x Kenya","Yes"
"uniqueid_209 x Kenya","No"
"uniqueid_210 x Kenya","No"
"uniqueid_211 x Kenya","No"
"uniqueid_212 x Kenya","No"
"uniqueid_213 x Kenya","No"
"uniqueid_214 x Kenya","No"
"uniqueid_215 x Kenya","No"
"uniqueid_216 x Kenya","No"
"uniqueid_217 x Kenya","No"
"uniqueid_218 x Kenya","Yes"
"uniqueid_219 x Kenya","No"
"uniqueid_220 x Kenya","No"
"uniqueid_221 x Kenya","No"
"uniqueid_222 x Kenya","No"
"uniqueid_223 x Kenya","No"
"uniqueid_224 x Kenya","Yes"
"uniqueid_225 x Kenya","No"
"uniqueid_226 x Kenya","No"
"uniqueid_227 x Kenya","No"
"uniqueid_228 x Kenya","Yes"
"uniqueid_229 x Kenya","No"
"uniqueid_230 x Kenya","No"
"uniqueid_231 x Kenya","No"
"uniqueid_232 x Kenya","No"
"uniqueid_233 x Kenya","Yes"
"uniqueid_234 x Kenya","No"
"uniqueid_235 x Kenya","No"
"uniqueid_236 x Kenya","No"
"uniqueid_237 x Kenya","Yes"
"uniqueid_238 x Kenya","No"
"uniqueid_239 x Kenya","No"
"uniqueid_240 x Kenya","No"
"uniqueid_241 x Kenya","No"
"uniqueid_242 x Kenya","No"
"uniqueid_243 x Kenya","No"
"uniqueid_244 x Kenya","No"
"uniqueid_245 x Kenya","Yes"
"uniqueid_246 x Kenya","Yes"
"uniqueid_247 x Kenya","No"
"uniqueid_248 x Kenya","No"
"uniqueid_249 x Kenya","No"
"uniqueid_250 x Kenya","No"
"uniqueid_251 x Kenya","Yes"
"uniqueid_252 x Kenya","No"
"uniqueid_253 x Kenya","Yes"
"uniqueid_254 x Kenya","No"
"uniqueid_255 x Kenya","No"
"uniqueid_256 x Kenya","No"
"uniqueid_257 x Kenya","No"
"uniqueid_258 x Kenya","No"
"uniqueid_259 x Kenya","No"
"uniqueid_260 x Kenya","No"
"uniqueid_261 x Kenya","No"
"uniqueid_262 x Kenya","No"
"uniqueid_263 x Kenya","No"
"uniqueid_264 x Kenya","No"
"uniqueid_265 x Kenya","No"
"uniqueid_266 x Kenya","No"
"uniqueid_267 x Kenya","No"
"uniqueid_268 x Kenya","No"
"uniqueid_269 x Kenya","No"
"uniqueid_270 x Kenya","No"
"uniqueid_271 x Kenya","No"
"uniqueid_272 x Kenya","No"
"uniqueid_273 x Kenya","No"
"uniqueid_274 x Kenya","No"
"uniqueid_275 x Kenya","No"
"uniqueid_276 x Kenya","Yes"
"uniqueid_277 x Kenya","Yes"
"uniqueid_278 x Kenya","No"
"uniqueid_279 x Kenya","Yes"
"uniqueid_280 x Kenya","No"
"uniqueid_281 x Kenya","No"
"uniqueid_282 x Kenya","No"
"uniqueid_283 x Kenya","No"
"uniqueid_284 x Kenya","Yes"
"uniqueid_285 x Kenya","No"
"uniqueid_286 x Kenya","No"
"uniqueid_287 x Kenya","No"
"uniqueid_288 x Kenya","No"
"uniqueid_289 x Kenya","No"
"uniqueid_290 x Kenya","No"
"uniqueid_291 x Kenya","No"
"uniqueid_292 x Kenya","No"
"uniqueid_293 x Kenya","No"
"uniqueid_294 x Kenya","No"
"uniqueid_295 x Kenya","No"
"uniqueid_296 x Kenya","No"
"uniqueid_297 x Kenya","No"
"uniqueid_298 x Kenya","No"
"uniqueid_299 x Kenya","No"
"uniqueid_300 x Kenya","Yes"
"uniqueid_301 x Kenya","No"
"uniqueid_302 x Kenya","No"
"uniqueid_303 x Kenya","No"
"uniqueid_304 x Kenya","No"
"uniqueid_305 x Kenya","Yes"
"uniqueid_306 x Kenya","No"
"uniqueid_307 x Kenya","No"
"uniqueid_308 x Kenya","Yes"
"uniqueid_309 x Kenya","Yes"
"uniqueid_310 x Kenya","Yes"
"uniqueid_311 x Kenya","Yes"
"uniqueid_312 x Kenya","No"
"uniqueid_313 x Kenya","No"
"uniqueid_314 x Kenya","Yes"
"uniqueid_315 x Kenya","No"
"uniqueid_316 x Kenya","Yes"
"uniqueid_317 x Kenya","Yes"
"uniqueid_318 x Kenya","No"
"uniqueid_319 x Kenya","Yes"
"uniqueid_320 x Kenya","No"
"uniqueid_321 x Kenya","Yes"
"uniqueid_322 x Kenya","No"
"uniqueid_323 x Kenya","No"
"uniqueid_324 x Kenya","No"
"uniqueid_325 x Kenya","No"
"uniqueid_326 x Kenya","No"
"uniqueid_327 x Kenya","No"
"uniqueid_328 x Kenya","Yes"
"uniqueid_329 x Kenya","No"
"uniqueid_330 x Kenya","No"
"uniqueid_331 x Kenya","No"
"uniqueid_332 x Kenya","Yes"
"uniqueid_333 x Kenya","No"
"uniqueid_334 x Kenya","No"
"uniqueid_335 x Kenya","No"
"uniqueid_336 x Kenya","No"
"uniqueid_337 x Kenya","No"
"uniqueid_338 x Kenya","No"
"uniqueid_339 x Kenya","No"
"uniqueid_340 x Kenya","Yes"
"uniqueid_341 x Kenya","No"
"uniqueid_342 x Kenya","No"
"uniqueid_343 x Kenya","Yes"
"uniqueid_344 x Kenya","No"
"uniqueid_345 x Kenya","No"
"uniqueid_346 x Kenya","Yes"
"uniqueid_347 x Kenya","No"
"uniqueid_348 x Kenya","No"
"uniqueid_349 x Kenya","No"
"uniqueid_350 x Kenya","No"
"uniqueid_351 x Kenya","Yes"
"uniqueid_352 x Kenya","No"
"uniqueid_353 x Kenya","Yes"
"uniqueid_354 x Kenya","Yes"
"uniqueid_355 x Kenya","No"
"uniqueid_356 x Kenya","No"
"uniqueid_357 x Kenya","No"
"uniqueid_358 x Kenya","Yes"
"uniqueid_359 x Kenya","Yes"
"uniqueid_360 x Kenya","No"
"uniqueid_361 x Kenya","No"
"uniqueid_362 x Kenya","No"
"uniqueid_363 x Kenya","No"
"uniqueid_364 x Kenya","No"
"uniqueid_365 x Kenya","No"
"uniqueid_366 x Kenya","No"
"uniqueid_367 x Kenya","No"
"uniqueid_368 x Kenya","No"
"uniqueid_369 x Kenya","No"
"uniqueid_370 x Kenya","No"
"uniqueid_371 x Kenya","No"
"uniqueid_372 x Kenya","No"
"uniqueid_373 x Kenya","No"
"uniqueid_374 x Kenya","No"
"uniqueid_375 x Kenya","No"
"uniqueid_376 x Kenya","Yes"
"uniqueid_377 x Kenya","Yes"
"uniqueid_378 x Kenya","No"
"uniqueid_379 x Kenya","No"
"uniqueid_380 x Kenya","No"
"uniqueid_381 x Kenya","Yes"
"uniqueid_382 x Kenya","No"
"uniqueid_383 x Kenya","No"
"uniqueid_384 x Kenya","Yes"
"uniqueid_385 x Kenya","No"
"uniqueid_386 x Kenya","No"
"uniqueid_387 x Kenya","No"
"uniqueid_388 x Kenya","No"
"uniqueid_389 x Kenya","No"
"uniqueid_390 x Kenya","No"
"uniqueid_391 x Kenya","No"
"uniqueid_392 x Kenya","No"
"uniqueid_393 x Kenya","Yes"
"uniqueid_394 x Kenya","No"
"uniqueid_395 x Kenya","No"
"uniqueid_396 x Kenya","No"
"uniqueid_397 x Kenya","No"
"uniqueid_398 x Kenya","Yes"
"uniqueid_399 x Kenya","No"
"uniqueid_400 x Kenya","Yes"
"uniqueid_401 x Kenya","Yes"
"uniqueid_402 x Kenya","No"
"uniqueid_403 x Kenya","No"
"uniqueid_404 x Kenya","No"
"uniqueid_405 x Kenya","No"
"uniqueid_406 x Kenya","No"
"uniqueid_407 x Kenya","Yes"
"uniqueid_408 x Kenya","No"
"uniqueid_409 x Kenya","No"
"uniqueid_410 x Kenya","No"
"uniqueid_411 x Kenya","No"
"uniqueid_412 x Kenya","No"
"uniqueid_413 x Kenya","No"
"uniqueid_414 x Kenya","No"
"uniqueid_415 x Kenya","No"
"uniqueid_416 x Kenya","Yes"
"uniqueid_417 x Kenya","Yes"
"uniqueid_418 x Kenya","No"
"uniqueid_419 x Kenya","Yes"
"uniqueid_420 x Kenya","No"
"uniqueid_421 x Kenya","No"
"uniqueid_422 x Kenya","No"
"uniqueid_423 x Kenya","No"
"uniqueid_424 x Kenya","Yes"
"uniqueid_425 x Kenya","No"
"uniqueid_426 x Kenya","No"
"uniqueid_427 x Kenya","No"
"uniqueid_428 x Kenya","No"
"uniqueid_429 x Kenya","No"
"uniqueid_430 x Kenya","No"
"uniqueid_431 x Kenya","Yes"
"uniqueid_432 x Kenya","No"
"uniqueid_433 x Kenya","No"
"uniqueid_434 x Kenya","Yes"
"uniqueid_435 x Kenya","No"
"uniqueid_436 x Kenya","No"
"uniqueid_437 x Kenya","No"
"uniqueid_438 x Kenya","No"
"uniqueid_439 x Kenya","Yes"
"uniqueid_440 x Kenya","No"
"uniqueid_441 x Kenya","Yes"
"uniqueid_442 x Kenya","No"
"uniqueid_443 x Kenya","No"
"uniqueid_444 x Kenya","No"
"uniqueid_445 x Kenya","No"
"uniqueid_446 x Kenya","No"
"uniqueid_447 x Kenya","No"
"uniqueid_448 x Kenya","No"
"uniqueid_449 x Kenya","Yes"
"uniqueid_450 x Kenya","Yes"
"uniqueid_451 x Kenya","No"
"uniqueid_452 x Kenya","No"
"uniqueid_453 x Kenya","No"
"uniqueid_454 x Kenya","Yes"
"uniqueid_455 x Kenya","Yes"
"uniqueid_456 x Kenya","No"
"uniqueid_457 x Kenya","No"
"uniqueid_458 x Kenya","No"
"uniqueid_459 x Kenya","No"
"uniqueid_460 x Kenya","Yes"
"uniqueid_461 x Kenya","No"
"uniqueid_462 x Kenya","No"
"uniqueid_463 x Kenya","Yes"
"uniqueid_464 x Kenya","No"
"uniqueid_465 x Kenya","No"
"uniqueid_466 x Kenya","No"
"uniqueid_467 x Kenya","No"
"uniqueid_468 x Kenya","No"
"uniqueid_469 x Kenya","Yes"
"uniqueid_470 x Kenya","No"
"uniqueid_471 x Kenya","No"
"uniqueid_472 x Kenya","No"
"uniqueid_473 x Kenya","No"
"uniqueid_474 x Kenya","No"
"uniqueid_475 x Kenya","No"
"uniqueid_476 x Kenya","Yes"
"uniqueid_477 x Kenya","No"
"uniqueid_478 x Kenya","No"
"uniqueid_479 x Kenya","No"
"uniqueid_480 x Kenya","Yes"
"uniqueid_481 x Kenya","No"
"uniqueid_482 x Kenya","Yes"
"uniqueid_483 x Kenya","No"
"uniqueid_484 x Kenya","No"
"uniqueid_485 x Kenya","Yes"
"uniqueid_486 x Kenya","No"
"uniqueid_487 x Kenya","No"
"uniqueid_488 x Kenya","No"
"uniqueid_489 x Kenya","No"
"uniqueid_490 x Kenya","Yes"
"uniqueid_491 x Kenya","No"
"uniqueid_492 x Kenya","Yes"
"uniqueid_493 x Kenya","No"
"uniqueid_494 x Kenya","No"
"uniqueid_495 x Kenya","No"
"uniqueid_496 x Kenya","No"
"uniqueid_497 x Kenya","Yes"
"uniqueid_498 x Kenya","No"
"uniqueid_499 x Kenya","Yes"
"uniqueid_500 x Kenya","No"
"uniqueid_501 x Kenya","No"
"uniqueid_502 x Kenya","No"
"uniqueid_503 x Kenya","Yes"
"uniqueid_504 x Kenya","Yes"
"uniqueid_505 x Kenya","Yes"
"uniqueid_506 x Kenya","No"
"uniqueid_507 x Kenya","Yes"
"uniqueid_508 x Kenya","Yes"
"uniqueid_509 x Kenya","No"
"uniqueid_510 x Kenya","Yes"
"uniqueid_511 x Kenya","Yes"
"uniqueid_512 x Kenya","No"
"uniqueid_513 x Kenya","No"
"uniqueid_514 x Kenya","No"
"uniqueid_515 x Kenya","Yes"
"uniqueid_516 x Kenya","Yes"
"uniqueid_517 x Kenya","Yes"
"uniqueid_518 x Kenya","No"
"uniqueid_519 x Kenya","Yes"
"uniqueid_520 x Kenya","No"
"uniqueid_521 x Kenya","No"
"uniqueid_522 x Kenya","Yes"
"uniqueid_523 x Kenya","No"
"uniqueid_524 x Kenya","Yes"
"uniqueid_525 x Kenya","No"
"uniqueid_526 x Kenya","Yes"
"uniqueid_527 x Kenya","Yes"
"uniqueid_528 x Kenya","Yes"
"uniqueid_529 x Kenya","Yes"
"uniqueid_530 x Kenya","No"
"uniqueid_531 x Kenya","No"
"uniqueid_532 x Kenya","No"
"uniqueid_533 x Kenya","Yes"
"uniqueid_534 x Kenya","Yes"
"uniqueid_535 x Kenya","Yes"
"uniqueid_536 x Kenya","No"
"uniqueid_537 x Kenya","Yes"
"uniqueid_538 x Kenya","Yes"
"uniqueid_539 x Kenya","Yes"
"uniqueid_540 x Kenya","No"
"uniqueid_541 x Kenya","Yes"
"uniqueid_542 x Kenya","No"
"uniqueid_543 x Kenya","No"
"uniqueid_544 x Kenya","No"
"uniqueid_545 x Kenya","Yes"
"uniqueid_546 x Kenya","Yes"
"uniqueid_547 x Kenya","Yes"
"uniqueid_548 x Kenya","No"
"uniqueid_549 x Kenya","Yes"
"uniqueid_550 x Kenya","No"
"uniqueid_551 x Kenya","No"
"uniqueid_552 x Kenya","No"
"uniqueid_553 x Kenya","Yes"
"uniqueid_554 x Kenya","No"
"uniqueid_555 x Kenya","No"
"uniqueid_556 x Kenya","Yes"
"uniqueid_557 x Kenya","Yes"
"uniqueid_558 x Kenya","No"
"uniqueid_559 x Kenya","No"
"uniqueid_560 x Kenya","No"
"uniqueid_561 x Kenya","Yes"
"uniqueid_562 x Kenya","No"
"uniqueid_563 x Kenya","No"
"uniqueid_564 x Kenya","No"
"uniqueid_565 x Kenya","Yes"
"uniqueid_566 x Kenya","No"
"uniqueid_567 x Kenya","Yes"
"uniqueid_568 x Kenya","No"
"uniqueid_569 x Kenya","No"
"uniqueid_570 x Kenya","No"
"uniqueid_571 x Kenya","No"
"uniqueid_572 x Kenya","Yes"
"uniqueid_573 x Kenya","No"
"uniqueid_574 x Kenya","No"
"uniqueid_575 x Kenya","Yes"
"uniqueid_576 x Kenya","Yes"
"uniqueid_577 x Kenya","No"
"uniqueid_578 x Kenya","No"
"uniqueid_579 x Kenya","No"
"uniqueid_580 x Kenya","Yes"
"uniqueid_581 x Kenya","Yes"
"uniqueid_582 x Kenya","No"
"uniqueid_583 x Kenya","No"
"uniqueid_584 x Kenya","No"
"uniqueid_585 x Kenya","No"
"uniqueid_586 x Kenya","No"
"uniqueid_587 x Kenya","No"
"uniqueid_588 x Kenya","No"
"uniqueid_589 x Kenya","Yes"
"uniqueid_590 x Kenya","Yes"
"uniqueid_591 x Kenya","No"
"uniqueid_592 x Kenya","No"
"uniqueid_593 x Kenya","No"
"uniqueid_594 x Kenya","No"
"uniqueid_595 x Kenya","Yes"
"uniqueid_596 x Kenya","Yes"
"uniqueid_597 x Kenya","Yes"
"uniqueid_598 x Kenya","Yes"
"uniqueid_599 x Kenya","Yes"
"uniqueid_600 x Kenya","No"
"uniqueid_601 x Kenya","No"
"uniqueid_602 x Kenya","No"
"uniqueid_603 x Kenya","Yes"
"uniqueid_604 x Kenya","No"
"uniqueid_605 x Kenya","Yes"
"uniqueid_606 x Kenya","No"
"uniqueid_607 x Kenya","No"
"uniqueid_608 x Kenya","No"
"uniqueid_609 x Kenya","No"
"uniqueid_610 x Kenya","Yes"
"uniqueid_611 x Kenya","No"
"uniqueid_612 x Kenya","No"
"uniqueid_613 x Kenya","No"
"uniqueid_614 x Kenya","No"
"uniqueid_615 x Kenya","No"
"uniqueid_616 x Kenya","No"
"uniqueid_617 x Kenya","No"
"uniqueid_618 x Kenya","Yes"
"uniqueid_619 x Kenya","No"
"uniqueid_620 x Kenya","No"
"uniqueid_621 x Kenya","No"
"uniqueid_622 x Kenya","Yes"
"uniqueid_623 x Kenya","No"
"uniqueid_624 x Kenya","No"
"uniqueid_625 x Kenya","No"
"uniqueid_626 x Kenya","Yes"
"uniqueid_627 x Kenya","No"
"uniqueid_628 x Kenya","Yes"
"uniqueid_629 x Kenya","Yes"
"uniqueid_630 x Kenya","No"
"uniqueid_631 x Kenya","No"
"uniqueid_632 x Kenya","No"
"uniqueid_633 x Kenya","Yes"
"uniqueid_634 x Kenya","Yes"
"uniqueid_635 x Kenya","No"
"uniqueid_636 x Kenya","No"
"uniqueid_637 x Kenya","Yes"
"uniqueid_638 x Kenya","No"
"uniqueid_639 x Kenya","No"
"uniqueid_640 x Kenya","No"
"uniqueid_641 x Kenya","No"
"uniqueid_642 x Kenya","No"
"uniqueid_643 x Kenya","No"
"uniqueid_644 x Kenya","No"
"uniqueid_645 x Kenya","No"
"uniqueid_646 x Kenya","No"
"uniqueid_647 x Kenya","No"
"uniqueid_648 x Kenya","No"
"uniqueid_649 x Kenya","No"
"uniqueid_650 x Kenya","No"
"uniqueid_651 x Kenya","Yes"
"uniqueid_652 x Kenya","Yes"
"uniqueid_653 x Kenya","Yes"
"uniqueid_654 x Kenya","Yes"
"uniqueid_655 x Kenya","No"
"uniqueid_656 x Kenya","Yes"
"uniqueid_657 x Kenya","No"
"uniqueid_658 x Kenya","No"
"uniqueid_659 x Kenya","No"
"uniqueid_660 x Kenya","No"
"uniqueid_661 x Kenya","No"
"uniqueid_662 x Kenya","No"
"uniqueid_663 x Kenya","No"
"uniqueid_664 x Kenya","No"
"uniqueid_665 x Kenya","No"
"uniqueid_666 x Kenya","Yes"
"uniqueid_667 x Kenya","No"
"uniqueid_668 x Kenya","No"
"uniqueid_669 x Kenya","Yes"
"uniqueid_670 x Kenya","No"
"uniqueid_671 x Kenya","No"
"uniqueid_672 x Kenya","No"
"uniqueid_673 x Kenya","No"
"uniqueid_674 x Kenya","No"
"uniqueid_675 x Kenya","No"
"uniqueid_676 x Kenya","Yes"
"uniqueid_677 x Kenya","No"
"uniqueid_678 x Kenya","Yes"
"uniqueid_679 x Kenya","No"
"uniqueid_680 x Kenya","Yes"
"uniqueid_681 x Kenya","No"
"uniqueid_682 x Kenya","No"
"uniqueid_683 x Kenya","No"
"uniqueid_684 x Kenya","No"
"uniqueid_685 x Kenya","Yes"
"uniqueid_686 x Kenya","Yes"
"uniqueid_687 x Kenya","No"
"uniqueid_688 x Kenya","No"
"uniqueid_689 x Kenya","Yes"
"uniqueid_690 x Kenya","No"
"uniqueid_691 x Kenya","No"
"uniqueid_692 x Kenya","No"
"uniqueid_693 x Kenya","No"
"uniqueid_694 x Kenya","No"
"uniqueid_695 x Kenya","Yes"
"uniqueid_696 x Kenya","No"
"uniqueid_697 x Kenya","Yes"
"uniqueid_698 x Kenya","No"
"uniqueid_699 x Kenya","No"
"uniqueid_700 x Kenya","No"
"uniqueid_701 x Kenya","No"
"uniqueid_702 x Kenya","No"
"uniqueid_703 x Kenya","No"
"uniqueid_704 x Kenya","No"
"uniqueid_705 x Kenya","No"
"uniqueid_706 x Kenya","Yes"
"uniqueid_707 x Kenya","No"
"uniqueid_708 x Kenya","Yes"
"uniqueid_709 x Kenya","No"
"uniqueid_710 x Kenya","No"
"uniqueid_711 x Kenya","Yes"
"uniqueid_712 x Kenya","No"
"uniqueid_713 x Kenya","Yes"
"uniqueid_714 x Kenya","No"
"uniqueid_715 x Kenya","No"
"uniqueid_716 x Kenya","Yes"
"uniqueid_717 x Kenya","No"
"uniqueid_718 x Kenya","No"
"uniqueid_719 x Kenya","Yes"
"uniqueid_720 x Kenya","No"
"uniqueid_721 x Kenya","No"
"uniqueid_722 x Kenya","No"
"uniqueid_723 x Kenya","Yes"
"uniqueid_724 x Kenya","No"
"uniqueid_725 x Kenya","No"
"uniqueid_726 x Kenya","No"
"uniqueid_727 x Kenya","No"
"uniqueid_728 x Kenya","No"
"uniqueid_729 x Kenya","No"
"uniqueid_730 x Kenya","Yes"
"uniqueid_731 x Kenya","No"
"uniqueid_732 x Kenya","No"
"uniqueid_733 x Kenya","No"
"uniqueid_734 x Kenya","No"
"uniqueid_735 x Kenya","No"
"uniqueid_736 x Kenya","No"
"uniqueid_737 x Kenya","No"
"uniqueid_738 x Kenya","No"
"uniqueid_739 x Kenya","No"
"uniqueid_740 x Kenya","Yes"
"uniqueid_741 x Kenya","No"
"uniqueid_742 x Kenya","No"
"uniqueid_743 x Kenya","No"
"uniqueid_744 x Kenya","Yes"
"uniqueid_745 x Kenya","No"
"uniqueid_746 x Kenya","No"
"uniqueid_747 x Kenya","No"
"uniqueid_748 x Kenya","No"
"uniqueid_749 x Kenya","No"
"uniqueid_750 x Kenya","No"
"uniqueid_751 x Kenya","No"
"uniqueid_752 x Kenya","No"
"uniqueid_753 x Kenya","No"
"uniqueid_754 x Kenya","Yes"
"uniqueid_755 x Kenya","Yes"
